"","Female","Male","Other/Would rather not say","age_M","age_SD","None","Doctorate","Some univ.","Univ.","≥ 12yrs","≥ 6yrs","≥ 9yrs"
"BG",0.75098814229249,0.245059288537549,0.00395256916996047,40.8015873015873,16.3814197737894,0.00396825396825397,0.0555555555555556,0.341269841269841,0.476190476190476,0.123015873015873,0,0
"CS",0.707236842105263,0.276315789473684,0.0164473684210526,33.5197368421053,11.3230221360534,0,0.0493421052631579,0.309210526315789,0.486842105263158,0.151315789473684,0.00328947368421053,0
"DE",0.648387096774194,0.346774193548387,0.00483870967741936,44.2903225806452,18.5275301397225,0.00483870967741936,0.0693548387096774,0.180645161290323,0.47741935483871,0.232258064516129,0.00161290322580645,0.0338709677419355
"EN",0.663453815261044,0.324497991967871,0.0120481927710843,30.8774193548387,11.4896650666138,0,0.100321027287319,0.341091492776886,0.528089887640449,0.0264847512038523,0,0.00401284109149278
"ES-CO",0.665957446808511,0.329787234042553,0.00425531914893617,40.0576923076923,12.2741212333402,0.00213219616204691,0.0660980810234542,0.127931769722815,0.763326226012793,0.0298507462686567,0.00213219616204691,0.00852878464818763
"ES-CR",0.712041884816754,0.272251308900524,0.0157068062827225,36.5392670157068,10.9071332278184,0,0.0104712041884817,0.109947643979058,0.837696335078534,0.0261780104712042,0.00523560209424084,0.0104712041884817
"ES-EC",0.669724770642202,0.31651376146789,0.0137614678899083,33.1376146788991,11.2311022146909,0.00458715596330275,0.036697247706422,0.192660550458716,0.729357798165138,0.0275229357798165,0.00917431192660551,0
"ES-ES",0.675767918088737,0.319112627986348,0.00511945392491468,40.6303236797274,13.5429275926223,0,0.17717206132879,0.211243611584327,0.579216354344123,0.0255536626916525,0,0.00681431005110733
"ES-G",0.845303867403315,0.154696132596685,0,36.6740331491713,14.8906697028339,0,0.0331491712707182,0.292817679558011,0.640883977900553,0.0276243093922652,0.00552486187845304,0
"ES-GU",0.863636363636364,0.136363636363636,0,42.6454545454545,12.9963720709688,0.00454545454545455,0.0681818181818182,0.113636363636364,0.740909090909091,0.0590909090909091,0,0.0136363636363636
"ES-HN",0.665605095541401,0.321656050955414,0.0127388535031847,25.3067092651757,8.24165388060177,0.00636942675159236,0.00636942675159236,0.640127388535032,0.184713375796178,0.14968152866242,0.00636942675159236,0.00636942675159236
"ET",0.86697247706422,0.13302752293578,0,39.3211009174312,10.4994015488397,0,0.0137614678899083,0.220183486238532,0.564220183486238,0.192660550458716,0,0.00917431192660551
"FI",0.795749704840614,0.191263282172373,0.012987012987013,46.3179669030733,14.3763228628496,0.00593119810201661,0.0415183867141162,0.190984578884935,0.549228944246738,0.169632265717675,0.0166073546856465,0.0260972716488731
"IT",0.73021582733813,0.266187050359712,0.00359712230215827,45.2258064516129,16.0727633007109,0,0.0727272727272727,0.225454545454545,0.476363636363636,0.203636363636364,0.00363636363636364,0.0181818181818182
"JA",0.413485374318295,0.573624194348042,0.0128904313336639,45.5344913151365,11.1013063827181,0.0267857142857143,0.00992063492063492,0.202876984126984,0.322420634920635,0.367063492063492,0.00843253968253968,0.0625
"NO",0.829268292682927,0.167682926829268,0.00304878048780488,40.4756097560976,13.3391200987668,0.00611620795107034,0.0764525993883792,0.18348623853211,0.617737003058104,0.100917431192661,0.00917431192660551,0.00611620795107034
"PT",0.718346253229974,0.268733850129199,0.0129198966408269,33.1317829457364,14.62681537998,0,0.245478036175711,0.209302325581395,0.421188630490956,0.113695090439276,0,0.0103359173126615
"PT-BR",0.720194647201946,0.274939172749392,0.0048661800486618,37.9221411192214,13.173838497958,0,0.13625304136253,0.160583941605839,0.664233576642336,0.0389294403892944,0,0
"RU",0.716459197786999,0.273397879207008,0.0101429230059935,27.4189944134078,11.5747686869932,0.00230414746543779,0.0133640552995392,0.413824884792627,0.329032258064516,0.205529953917051,0.00368663594470046,0.032258064516129
"SK",0.889705882352941,0.110294117647059,0,35.169741697417,13.3002634173188,0.00743494423791822,0.0855018587360595,0.263940520446097,0.513011152416357,0.122676579925651,0.00371747211895911,0.00371747211895911
"SV",0.81294964028777,0.151079136690647,0.0359712230215827,42.1151079136691,14.8763400987826,0,0.0869565217391304,0.231884057971014,0.557971014492754,0.0942028985507246,0,0.0289855072463768
"TR",0.684931506849315,0.308219178082192,0.00684931506849315,23.7328767123288,7.47343903285487,0,0.0410958904109589,0.0205479452054795,0.383561643835616,0.554794520547945,0,0
"UK",0.644230769230769,0.350961538461538,0.00480769230769231,32.3846153846154,10.3146700953074,0.00480769230769231,0.120192307692308,0.0144230769230769,0.822115384615385,0.0384615384615385,0,0
"ZH-T",0.642241379310345,0.336206896551724,0.021551724137931,35.1637931034483,9.83011008778441,0,0.0689655172413793,0.021551724137931,0.879310344827586,0.0301724137931034,0,0
